transaction_id,store_id,fecha,mes,dia_semana,hora,ubicacion_tienda,tipo_zona,producto,categoria_producto,precio_unitario,tipo_promocion,clima,ingestion_timestamp
T00001,S044,2024-04-12,4,Friday,00:00:00,Arequipa,Residencial,Jabón,Aseo,4.16,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00002,S047,2024-10-20,10,Sunday,00:00:00,Cusco,Residencial,Energizante,Bebidas,4.59,2x1,Soleado,2026-04-19 23:51:28.848790
T00003,S002,2024-02-20,2,Tuesday,00:00:00,Cusco,Residencial,Sandwich,Comidas,14.42,2x1,Soleado,2026-04-19 23:51:28.848790
T00004,S029,2024-12-05,12,Thursday,00:00:00,Cusco,Mixta,Cerveza,Alcohol,11.92,Descuento,Lluvioso,2026-04-19 23:51:28.848790
T00005,S024,2024-07-09,7,Tuesday,00:00:00,Piura,Comercial,Alcohol medicinal,Farmacia,4.9,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00006,S033,2024-08-04,8,Sunday,00:00:00,Lima,Residencial,Jabón,Aseo,9.65,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00007,S035,2024-09-17,9,Tuesday,00:00:00,Piura,Residencial,Cerveza,Alcohol,18.65,Descuento,Nublado,2026-04-19 23:51:28.848790
T00008,S032,2024-08-14,8,Wednesday,00:00:00,Huancayo,Mixta,Agua,Bebidas,3.54,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00009,S002,2024-08-18,8,Sunday,00:00:00,Cusco,Residencial,Vino,Alcohol,7.46,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00010,S027,2024-06-18,6,Tuesday,00:00:00,Huancayo,Residencial,Shampoo,Aseo,11.25,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00011,S041,2024-04-30,4,Tuesday,00:00:00,Lima,Mixta,Alcohol medicinal,Farmacia,6.63,2x1,Nublado,2026-04-19 23:51:28.848790
T00012,S037,2024-06-28,6,Friday,00:00:00,Huancayo,Residencial,Galletas,Snacks,2.42,2x1,Lluvioso,2026-04-19 23:51:28.848790
T00013,S024,2024-08-11,8,Sunday,00:00:00,Lima,Mixta,Alcohol medicinal,Farmacia,8.1,2x1,Nublado,2026-04-19 23:51:28.848790
T00014,S026,2024-11-20,11,Wednesday,00:00:00,Huancayo,Comercial,Empanada,Comidas,11.96,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00015,S007,2024-05-26,5,Sunday,00:00:00,Cusco,Residencial,Energizante,Bebidas,7.03,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00016,S048,2024-09-08,9,Sunday,00:00:00,Piura,Residencial,Vino,Alcohol,18.03,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00017,S029,2024-07-26,7,Friday,00:00:00,Cusco,Comercial,Energizante,Bebidas,2.97,Descuento,Soleado,2026-04-19 23:51:28.848790
T00018,S048,2024-12-31,12,Tuesday,00:00:00,Huancayo,Mixta,Jabón,Aseo,9.77,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00019,S048,2024-01-22,1,Monday,00:00:00,Huancayo,Comercial,Paracetamol,Farmacia,4.61,Ninguno,Lluvioso,2026-04-19 23:51:28.848790
T00020,S031,2024-05-26,5,Sunday,00:00:00,Arequipa,Residencial,Energizante,Bebidas,3.68,Combo,Soleado,2026-04-19 23:51:28.848790
T00021,S024,2024-04-08,4,Monday,00:00:00,Cusco,Mixta,Jabón,Aseo,9.57,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00022,S026,2024-04-23,4,Tuesday,00:00:00,Huancayo,Mixta,Chocolate,Snacks,5.24,2x1,Nublado,2026-04-19 23:51:28.848790
T00023,S032,2024-12-20,12,Friday,00:00:00,Cusco,Comercial,Energizante,Bebidas,2.43,Descuento,Soleado,2026-04-19 23:51:28.848790
T00024,S030,2024-08-02,8,Friday,00:00:00,Cusco,Comercial,Paracetamol,Farmacia,3.36,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00025,S009,2024-02-16,2,Friday,00:00:00,Cusco,Residencial,Galletas,Snacks,3.17,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00026,S012,2024-05-08,5,Wednesday,00:00:00,Piura,Comercial,Alcohol medicinal,Farmacia,5.94,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00027,S021,2024-06-02,6,Sunday,00:00:00,Arequipa,Residencial,Paracetamol,Farmacia,8.34,Ninguno,Soleado,2026-04-19 23:51:28.848790
T00028,S005,2024-02-08,2,Thursday,00:00:00,Lima,Comercial,Paracetamol,Farmacia,6.51,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00029,S040,2024-01-04,1,Thursday,00:00:00,Piura,Residencial,Vino,Alcohol,21.59,2x1,Nublado,2026-04-19 23:51:28.848790
T00030,S034,2024-11-25,11,Monday,00:00:00,Cusco,Residencial,Shampoo,Aseo,7.08,Ninguno,Nublado,2026-04-19 23:51:28.848790
T00031,S035,2024-04-24,4,Wednesday,00:00:00,Cusco,Comercial,Shampoo,Aseo,7.39,2x1,Soleado,2026-04-19 23:51:28.848790
